2021-07-29 11:05:03,341 - DEBUG - 4
2021-07-29 11:05:03,342 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:35,451 - DEBUG - -1
2021-07-29 11:06:10,207 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - set to -1
2021-07-29 11:06:11,698 - DEBUG - -1
2021-07-29 15:58:16,176 - DEBUG - px, py: 43 19
2021-07-29 15:58:26,183 - DEBUG - px, py: 43 19
2021-07-29 15:58:36,188 - DEBUG - px, py: 43 19
2021-07-29 15:58:46,194 - DEBUG - px, py: 43 19
2021-07-29 15:58:56,198 - DEBUG - px, py: 43 19
2021-07-29 15:59:06,203 - DEBUG - px, py: 43 19
2021-07-29 15:59:16,208 - DEBUG - px, py: 43 19
2021-07-29 15:59:26,211 - DEBUG - px, py: 43 19
2021-07-29 15:59:36,215 - DEBUG - px, py: 43 19
2021-07-29 15:59:46,219 - DEBUG - px, py: 43 19
2021-07-29 15:59:56,223 - DEBUG - px, py: 43 19
2021-07-29 16:00:06,227 - DEBUG - px, py: 43 19
2021-07-29 16:00:16,231 - DEBUG - px, py: 43 19
2021-07-29 16:00:26,235 - DEBUG - px, py: 43 19
2021-07-29 16:00:36,240 - DEBUG - px, py: 43 19
2021-07-29 16:00:46,246 - DEBUG - px, py: 43 19
2021-07-29 16:00:56,249 - DEBUG - px, py: 43 19
2021-07-29 16:01:06,254 - DEBUG - px, py: 43 19
2021-07-29 16:01:16,257 - DEBUG - px, py: 43 19
2021-07-29 16:01:26,260 - DEBUG - px, py: 43 19
2021-07-29 16:01:36,268 - DEBUG - px, py: 43 19
2021-07-29 16:01:46,273 - DEBUG - px, py: 43 19
2021-07-29 16:01:56,277 - DEBUG - px, py: 43 19
2021-07-29 16:02:06,282 - DEBUG - px, py: 43 19
2021-07-29 16:02:16,286 - DEBUG - px, py: 43 19
2021-07-29 16:02:26,291 - DEBUG - px, py: 43 19
2021-07-29 16:02:36,298 - DEBUG - px, py: 43 19
2021-07-29 16:02:46,302 - DEBUG - px, py: 43 19
2021-07-29 16:02:56,306 - DEBUG - px, py: 43 19
2021-07-29 16:03:06,310 - DEBUG - px, py: 43 19
2021-07-29 16:03:16,314 - DEBUG - px, py: 43 19
2021-07-29 16:03:26,317 - DEBUG - px, py: 43 19
2021-07-29 16:03:36,320 - DEBUG - px, py: 43 19
2021-07-29 16:03:46,323 - DEBUG - px, py: 43 19
2021-07-29 16:03:56,327 - DEBUG - px, py: 43 19
2021-07-29 16:04:06,332 - DEBUG - px, py: 43 19
2021-07-29 16:04:16,339 - DEBUG - px, py: 43 19
2021-07-29 16:04:26,343 - DEBUG - px, py: 43 19
2021-07-29 16:04:36,345 - DEBUG - px, py: 43 19
2021-07-29 16:04:46,351 - DEBUG - px, py: 43 19
2021-07-29 16:04:56,355 - DEBUG - px, py: 43 19
2021-07-29 16:05:06,358 - DEBUG - px, py: 43 19
2021-07-29 16:05:16,395 - DEBUG - px, py: 43 19
2021-07-29 16:05:26,399 - DEBUG - px, py: 43 19
2021-07-29 16:05:36,406 - DEBUG - px, py: 43 19
2021-07-29 16:05:46,410 - DEBUG - px, py: 43 19
2021-07-29 16:05:56,414 - DEBUG - px, py: 43 19
2021-07-29 16:06:06,420 - DEBUG - px, py: 43 19
2021-07-29 16:06:16,424 - DEBUG - px, py: 43 19
2021-07-29 16:06:26,426 - DEBUG - px, py: 43 19
2021-07-29 16:06:36,430 - DEBUG - px, py: 43 19
2021-07-29 16:06:46,433 - DEBUG - px, py: 43 19
2021-07-29 16:06:56,437 - DEBUG - px, py: 43 19
2021-07-29 16:07:06,440 - DEBUG - px, py: 43 19
2021-07-29 16:07:16,444 - DEBUG - px, py: 43 19
2021-07-29 16:07:26,447 - DEBUG - px, py: 43 19
2021-07-29 16:07:36,454 - DEBUG - px, py: 43 19
2021-07-29 16:07:46,458 - DEBUG - px, py: 43 19
2021-07-29 16:07:56,461 - DEBUG - px, py: 43 19
2021-07-29 16:08:06,465 - DEBUG - px, py: 43 19
2021-07-29 16:08:16,469 - DEBUG - px, py: 43 19
2021-07-29 16:08:26,474 - DEBUG - px, py: 43 19
2021-07-29 16:08:36,479 - DEBUG - px, py: 43 19
2021-07-29 16:08:46,484 - DEBUG - px, py: 43 19
2021-07-29 16:08:56,489 - DEBUG - px, py: 43 19
2021-07-29 16:09:06,492 - DEBUG - px, py: 43 19
2021-07-29 16:09:16,494 - DEBUG - px, py: 43 19
2021-07-29 16:09:26,500 - DEBUG - px, py: 43 19
2021-07-29 16:09:36,503 - DEBUG - px, py: 43 19
2021-07-29 16:09:46,508 - DEBUG - px, py: 43 19
2021-07-29 16:09:56,511 - DEBUG - px, py: 43 19
2021-07-29 16:10:06,515 - DEBUG - px, py: 43 19
2021-07-29 16:10:16,518 - DEBUG - px, py: 43 19
2021-07-29 16:10:26,521 - DEBUG - px, py: 43 19
2021-07-29 16:10:33,666 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,168 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,199 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,231 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,266 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,298 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,330 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,363 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,513 - DEBUG - px, py: 43 19
2021-07-29 16:10:34,915 - DEBUG - px, py: 43 19
2021-07-29 16:10:35,122 - DEBUG - px, py: 43 19
2021-07-29 16:10:35,290 - DEBUG - px, py: 43 19
2021-07-29 16:10:35,457 - DEBUG - px, py: 43 19
2021-07-29 16:10:35,659 - DEBUG - px, py: 43 19
2021-07-29 16:10:35,824 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,027 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,201 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,370 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,522 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,693 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,873 - DEBUG - px, py: 43 19
2021-07-29 16:10:36,993 - DEBUG - px, py: 43 19
2021-07-29 16:10:37,223 - DEBUG - px, py: 43 19
2021-07-29 16:10:37,413 - DEBUG - px, py: 43 19
2021-07-29 16:10:37,443 - DEBUG - px, py: 43 19
2021-07-29 16:10:37,833 - DEBUG - px, py: 43 19
2021-07-29 16:10:38,066 - DEBUG - px, py: 43 19
2021-07-29 16:10:38,195 - DEBUG - px, py: 43 19
2021-07-29 16:10:38,513 - DEBUG - px, py: 43 19
2021-07-29 16:10:38,577 - DEBUG - px, py: 43 19
2021-07-29 16:10:39,024 - DEBUG - px, py: 43 19
2021-07-29 16:10:39,228 - DEBUG - px, py: 43 19
